Date : 2021-04-28 10:36:39
Directory : /home/singheart/projects/hariOS
Total : 66 files,  3282 codes, 440 comments, 641 blanks, all 4363 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/singheart/projects/hariOS/include/gui/console.h        | C++      |         24 |          0 |          8 |         32 |
| /home/singheart/projects/hariOS/include/gui/layer.h          | C++      |         37 |          1 |          6 |         44 |
| /home/singheart/projects/hariOS/include/gui/vga.h            | C++      |         45 |          2 |         11 |         58 |
| /home/singheart/projects/hariOS/include/gui/window.h         | C++      |          6 |          0 |          2 |          8 |
| /home/singheart/projects/hariOS/include/kernel/kernel.h      | C++      |          3 |          0 |          1 |          4 |
| /home/singheart/projects/hariOS/include/kernel/pci.h         | C++      |          9 |          0 |          3 |         12 |
| /home/singheart/projects/hariOS/include/kernel/task.h        | C++      |         30 |          1 |          7 |         38 |
| /home/singheart/projects/hariOS/include/kernel/thread.h      | C++      |         10 |          0 |          2 |         12 |
| /home/singheart/projects/hariOS/include/libc/function.h      | C++      |          4 |          0 |          1 |          5 |
| /home/singheart/projects/hariOS/include/libc/mem.h           | C++      |          6 |          0 |          0 |          6 |
| /home/singheart/projects/hariOS/include/libc/string.h        | C++      |         14 |          0 |          2 |         16 |
| /home/singheart/projects/hariOS/include/mm/memory.h          | C++      |         24 |          3 |          8 |         35 |
| /home/singheart/projects/hariOS/kernel/asm_func.asm          | nasm     |         10 |          5 |          2 |         17 |
| /home/singheart/projects/hariOS/kernel/kernel.c              | C        |         68 |          2 |         13 |         83 |
| /home/singheart/projects/hariOS/kernel/pci.c                 | C        |         23 |          1 |          4 |         28 |
| /home/singheart/projects/hariOS/kernel/task.c                | C        |         74 |          7 |         15 |         96 |
| /home/singheart/projects/hariOS/kernel/thread.c              | C        |          0 |          0 |          1 |          1 |
| /home/singheart/projects/hariOS/libc/mem.c                   | C        |         13 |          0 |          2 |         15 |
| /home/singheart/projects/hariOS/libc/string.c                | C        |        115 |         12 |         23 |        150 |
| /home/singheart/projects/hariOS/mm/cache.asm                 | nasm     |         27 |         13 |         10 |         50 |
| /home/singheart/projects/hariOS/mm/memory.c                  | C        |        125 |         32 |         22 |        179 |
| Total                                                        |          |      3,282 |        440 |        641 |      4,363 |
+--------------------------------------------------------------+----------+------------+------------+------------+------------+
