Date : 2021-05-29 11:43:37
Directory : /home/singheart/projects/hariOS
Total : 70 files,  3700 codes, 473 comments, 731 blanks, all 4904 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         26 |      2,218 |        285 |        408 |      2,911 |
| C++      |         30 |        730 |         45 |        156 |        931 |
| nasm     |         13 |        705 |        143 |        155 |      1,003 |
| Makefile |          1 |         47 |          0 |         12 |         59 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                            |         70 |      3,700 |        473 |        731 |      4,904 |
| boot                                                         |         10 |        461 |         83 |         95 |        639 |
| boot/include                                                 |          2 |         36 |          8 |          7 |         51 |
| cpu                                                          |          6 |        482 |        101 |         98 |        681 |
| drivers                                                      |          4 |        340 |         60 |         55 |        455 |
| fs                                                           |          3 |        407 |         56 |        103 |        566 |
| gui                                                          |          6 |        762 |         55 |        119 |        936 |
| include                                                      |         30 |        730 |         45 |        156 |        931 |
| include/cpu                                                  |          6 |        156 |         16 |         38 |        210 |
| include/drivers                                              |          5 |        202 |          4 |         18 |        224 |
| include/fs                                                   |          4 |        114 |         17 |         37 |        168 |
| include/gui                                                  |          6 |        147 |          3 |         37 |        187 |
| include/kernel                                               |          4 |         52 |          1 |         13 |         66 |
| include/libc                                                 |          4 |         35 |          1 |          5 |         41 |
| include/mm                                                   |          1 |         24 |          3 |          8 |         35 |
| kernel                                                       |          5 |        171 |         15 |         34 |        220 |
| libc                                                         |          3 |        148 |         13 |         27 |        188 |
| mm                                                           |          2 |        152 |         45 |         32 |        229 |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                     | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/singheart/projects/hariOS/Makefile                     | Makefile |         47 |          0 |         12 |         59 |
| /home/singheart/projects/hariOS/boot/32bit_gdt.asm           | nasm     |         23 |          1 |          4 |         28 |
| /home/singheart/projects/hariOS/boot/32bit_switch.asm        | nasm     |         19 |          0 |          2 |         21 |
| /home/singheart/projects/hariOS/boot/bootsect.asm            | nasm     |         74 |          6 |         12 |         92 |
| /home/singheart/projects/hariOS/boot/disk.asm                | nasm     |         63 |         13 |         14 |         90 |
| /home/singheart/projects/hariOS/boot/include/const_value.inc | nasm     |         15 |          4 |          5 |         24 |
| /home/singheart/projects/hariOS/boot/include/fat12hdr.inc    | nasm     |         21 |          4 |          2 |         27 |
| /home/singheart/projects/hariOS/boot/kernel_entry.asm        | nasm     |          6 |          0 |          0 |          6 |
| /home/singheart/projects/hariOS/boot/loader.asm              | nasm     |         60 |          3 |          9 |         72 |
| /home/singheart/projects/hariOS/boot/print.asm               | nasm     |         49 |         13 |         23 |         85 |
| /home/singheart/projects/hariOS/boot/switch_graphic_mode.asm | nasm     |        131 |         39 |         24 |        194 |
| /home/singheart/projects/hariOS/cpu/gdt.c                    | C        |         19 |          3 |          7 |         29 |
| /home/singheart/projects/hariOS/cpu/idt.c                    | C        |         15 |         11 |          1 |         27 |
| /home/singheart/projects/hariOS/cpu/interrupts.asm           | nasm     |        207 |         42 |         48 |        297 |
| /home/singheart/projects/hariOS/cpu/isr.c                    | C        |        124 |          9 |         17 |        150 |
| /home/singheart/projects/hariOS/cpu/register.c               | C        |         20 |          6 |          4 |         30 |
| /home/singheart/projects/hariOS/cpu/timer.c                  | C        |         97 |         30 |         21 |        148 |
| /home/singheart/projects/hariOS/drivers/ata.c                | C        |        138 |         16 |         27 |        181 |
| /home/singheart/projects/hariOS/drivers/keyboard.c           | C        |         66 |          5 |          5 |         76 |
| /home/singheart/projects/hariOS/drivers/mouse.c              | C        |        111 |         23 |         18 |        152 |
| /home/singheart/projects/hariOS/drivers/ports.c              | C        |         25 |         16 |          5 |         46 |
| /home/singheart/projects/hariOS/fs/dir.c                     | C        |        149 |         20 |         33 |        202 |
| /home/singheart/projects/hariOS/fs/fs.c                      | C        |        206 |         33 |         62 |        301 |
| /home/singheart/projects/hariOS/fs/inode.c                   | C        |         52 |          3 |          8 |         63 |
| /home/singheart/projects/hariOS/gui/background.c             | C        |         13 |          0 |          2 |         15 |
| /home/singheart/projects/hariOS/gui/console.c                | C        |        244 |         12 |         38 |        294 |
| /home/singheart/projects/hariOS/gui/gedit.c                  | C        |        127 |          7 |         27 |        161 |
| /home/singheart/projects/hariOS/gui/layer.c                  | C        |        203 |         25 |         37 |        265 |
| /home/singheart/projects/hariOS/gui/vga.c                    | C        |        128 |          9 |         14 |        151 |
| /home/singheart/projects/hariOS/gui/window.c                 | C        |         47 |          2 |          1 |         50 |
| /home/singheart/projects/hariOS/include/cpu/gdt.h            | C++      |         19 |          0 |          6 |         25 |
| /home/singheart/projects/hariOS/include/cpu/idt.h            | C++      |         20 |          2 |          7 |         29 |
| /home/singheart/projects/hariOS/include/cpu/isr.h            | C++      |         60 |         12 |          7 |         79 |
| /home/singheart/projects/hariOS/include/cpu/register.h       | C++      |         10 |          0 |          4 |         14 |
| /home/singheart/projects/hariOS/include/cpu/timer.h          | C++      |         28 |          2 |          8 |         38 |
